256158504: 不锈钢盆[doge]
430949184: 不锈钢五件套哈哈哈哈哈哈哈哈
502066959: 资本家挖人是真的恶心
74029325: 我是哔哩哔哩四级号，是来监管你们的， 我们四级号是你们最好的 老大哥！ 你们有不懂的事 可以问我们 我们会亲切的告诉你们！现在 请大家做自我介绍 从这层er 开始！
57051121: 讲的是啥呀？啥腾讯？我不知道[捂脸]
17256302: [小电视_赞][小电视_赞][小电视_赞][小电视_赞]
538692260: 针不戳
321660710: ……
443941517: 工头:你们的碗我包了[歪嘴]
496456922: hhh哈
430964796: 刚搬完砖的我眼泪流了下来[热词系列_泪目]
398666238: 厉害
4040376: 抽到搬砖去咯！
321450336: 想要
30451335: 冲冲冲
10113522: 这个盆能放生吗
150311788: 这无敌景点
415090937: 不说这期视频的深意，光说说最后那个塔，你是要搞砖制的太空电梯是吗？
515335248: 俺现在只关心黑神话悟空啥时发售！！！
35283671: 谁想要多个竞争对手呢，要死最好就胎死腹中，跟资本不资本没啥关系的
11053371: 咕咕咕
18779751: 想要不锈钢盆[鼓掌]
32389051: 高级
52110191: 把证件扔在地上让员工自己捡的，就离谱
208088765: [呲牙][呲牙][呲牙]
44591129: 牛逼
22997769: 抽
232510: 不锈钢盆五件套是男人无法抗拒的[大笑]
259819344: 来五件套，我没家伙吃饭了，秋梨膏！已5连！[打call][打call][打call][打call]
398656197: 小金在工地炒菜，让南厂的砖友们拉肚子搬不了砖。大金养猪实质上让饲料变质，最后将问题猪肉交给食堂的小金。南厂——人力不足——倒闭；阿友去开摩，借着西厂无宿舍砖友们明天只能坐摩回家。所以价格昂贵效率太慢。西厂——资金破产——倒闭。
结果：西厂和南厂倒闭破产。
工头，我们不是投敌了，我们只是想让那些让你做不大的砖厂们永远做不起来。[歪嘴]
109535072: 勉强能..冲［错乱］
429708731: 不锈钢我来了
50999696: 结尾bgm不错
372318415: 安排，来个钢盆，我要泡面吃
403502994: 。。。
52696728: [滑稽]
1794383: 吃了工头结尾的每期毒鸡汤
224637070: 冲冲冲。盆我来了
31208528: 国产不行，起码我们还能选择外国真香啊！
331212564: 砖
473073928: 想要五件套[doge]
39398659: 五件套，我的
41336844: 我评论并不是为了五件套，我只是想评论而已……[doge][doge][doge]
282369727: 是这，不锈钢盆可
495007015: 讽刺某些公司的恶心的真好，
310670893: [打call][打call][打call]
416246935: 希望砖没事
103392075: 我还是需要不锈钢五件套
318146216: 我要不锈钢盆[doge]
312846900: 可以
267250621: 我只对钢盆感兴趣！
174499858: 我甚至可以送你不锈钢五件套（
254291948: 为什么你不火？更新这么慢
289051008: 泪目
32919183: 怎么更新速度慢了，是不是另寻新欢了
269053506: 越看越像《人面》是怎么回事
35649692: 真的，刚毕业，我真的很迷茫，不知自己何去何从，从最开始的和伙伴一起找工作，再到最后的分道扬镳，我真的迷茫了，是找一个自己喜欢的工作还是一个挣钱多的但自己不喜欢的工作？太累了[笑]
148728124: [吃瓜]
399118809: 啊这
292074483: 不锈钢五件套，男人的浪漫[热词系列_吹爆]
253430826: 真就搬出新高度[doge]
544474522: 更新了
322383537: [吃瓜][吃瓜][吃瓜]
35574023: 害怕nm
391399817: ⊙∀⊙！
24091880: 今天又帅了
12801339: nb
28868910: 爷青回[热词系列_skr]
429525043: 这就是砖业的非砖业损友吗
256995664: 记住，哪个公司挖人就抵制哪个。因为这样的公司是做不出好游戏的。
104581678: 我操，你终于回来了[大笑]
420463635: 懂得都懂
13692789: 我就是来抽那不锈钢盆的[热词系列_知识增加]
438144692: 快手那个的真的是你们的号吗？[思考]
227309: 快进到反垄断法[tv_doge]
498388104: 啊这
138820536: 很强~
169479202: 就哈哈哈哈
23270474: 哈哈
295963200: 为了五件套
257928856: 追梦赤子心啊
4587316: 钢盆好啊
570085278: 不锈钢盆五件套是男人无法抗拒的[大笑]
384075004: 我要了
451960718: 我的[tv_doge]
12148597: [喜欢]无法抵抗的不锈钢盆五件套
53712267: 啊这
111547429: 泪目了
254052095: [热词系列_知识增加][热词系列_猛男必看]
482187615: 俺来了
49013856: 西砖厂和南砖厂除了搬砖啥都干[doge]
94849260: 老板我想去你的砖厂[OK][OK]
282603180: 盆是我的
233500334: 啊这。。。。
396243213: 失踪人口回归
628542012: 1111
4489169: 不要去，这个是黑厂，我们去上网！
147057432: 中
26549478: ？？
98731046: 说出来你可能不信,我本来在路上走的好好的,天上忽然下砖头了[doge]
394507170: 不投币不太好意思
39136000: 不锈钢
416177673: [微笑][笑]
354589010: 我我我
18460657: 万万没想到
334598062: 我不要[doge][doge]
126660834: 一段视频用了四个梗……
157596642: 盆是我的了[小A和小B_应援][小A和小B_应援][小A和小B_应援]
87358534: 希望up抽奖选我，不然我就取消赞，希望up不要不识抬举[doge]
2733959: 黑神话悟空坚强
275350570: 枯燥
158039670: 五件套
455673839: 希望网易有事[保佑][保佑][保佑]
485849589: 国         漫        之         胱
86676706: [热词系列_知识增加][热词系列_skr]
455321387: 给我
255145255: 呜呜
160076134: [歪嘴]
4568647: 我也要不锈钢五件套
396073837: 求不锈钢盆，呜呜呜
306202458: 怎么挖[偷笑]
315598533: 666
391573169: 必中[doge]
357891900: 最后挖到人了吗？
149987953: 大制作啊[打call][点赞]
291312342: 拉低中奖率
11174362: 哈哈哈，一个失去梦想的人路过，希望大家都好好生活。
442617286: 就是太短，能不能长点。短
305145044: 天空之城
123996436: 拉低中奖率
450435602: 鬼知道我是怎么从鬼畜视频一直点推荐到这里来的[笑哭]
384089568: [doge]
26152113: 冲冲冲
527125193: [滑稽]
114747996: 巴别塔xswl[喜极而泣]
234568018: 哎
39766172: 你可知道六级，孙悟空怎么翻译。
120389844: 没有视频里面那么清脆的盆我是不会要的[星星眼]
28037853: 钢盆？？
264479770: 不要抽奖，想拿手机换
226905633: 突然泪目
355911037: 钢盆！
442552243: 看完三零已成习惯（___）
277261027: 游戏对他们来说只是赚钱工具 不是艺术作品
259731951: @龙泽k1llY [大哭]
302249589: [吃瓜]
244163049: 不锈钢盆五件套是哪五件啊[tv_疑问][tv_疑问]
395419796: 你们懂帅脸雄的痛吗[doge]
416545041: 彦祖你来了[OK]
472177161: 中！
471492508: 。。。。
106174060: 美丽的二次元文化
容不下凯普一个家
高屋一个家
小林一电车
剩下的强殖
好像是多余的(´；ω；`)
389362499: 啊这
158463735: [OK][OK]
471450422: 啊这
71779202: 五件套是我的！
86927998: 啊
401505533: 啊这
417816613: 祖传掉盆
37877992: 国漫之膀
91248656: 你这盆送我吧，我用来放生
206788849: [热词系列_我全都要]
8583240: 狗up你是油炸童年吗[doge]我去回味他的作品的时候，翻评论说你和他画风很像，感觉是你开了新号妆萌新[辣眼睛]
385559303: 我来
39606265: [星星眼][星星眼][星星眼]安排
345293966: 最后的是COD6？
525905100: 最后十个[热词系列_泪目]有九个在笑
还有一个在狂笑！[偷笑]
300442743: 我只想在这里拉屎[囧]
14954245: 红砖，不锈钢盆，桠食，每期必备[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜]
480075128: 今天又帅了
38684287: 大鱼吃小鱼小鱼吃虾米[doge]
214544895: 俗话说得好 同行是冤家
63626558: 我想要钢盆[doge]
171273366: [tv_目瞪口呆]
351954772: 我正好缺一套不锈钢盆[抠鼻][抠鼻]
265494782: 国产之光[热词系列_skr][热词系列_镇站之宝][热词系列_神仙UP][热词系列_妙啊][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆]
12370491: 我不管我要投币[大哭][大哭][大哭]
390419163: 冲
80286453: 抽我抽我，刚好上大学室友一人一个一起摔碗[doge]
17441102: 吴彦祖
33307561: 是我了
354915200: 啊这。
238186115: [鼓掌]
354280608: 赞
