4306173: 来了来了，PIZA，yyds！
266765: 小红车后遗症：看mmd忍不住拖动进度条
618135374: 才一万播放???这个必须上百万啊![打call][点赞][热词系列_这次一定][热词系列_神仙UP][热词系列_你币有了][热词系列_爱了爱了]
4583498: 鹅妈妈！！[初音未来_吃惊][初音未来_哭了][初音未来_加油][初音未来_抱抱][初音未来_nice]
472544098: [初音未来_加油][初音未来_加油][初音未来_加油]
7023306: 好可爱的miku[tv_微笑]
350509: [热词系列_可以]
[热词系列_三连]
12306010: 太棒了
11237874: 好有以前看MMD的感觉[初音未来_哭了]
46465451: 逝者安息
35660639: [初音未来_干杯]
197304354: 太棒了[热词系列_三连]
7643686: 模好质量高
19510341: 好起来了
302289: 跳出了这支舞想表达的味道，真的很棒，很庆幸自己关注了up[热词系列_爱了爱了]
340803815: tqltql[Cat_heart]
2001514: 不知道为什么，我感觉总有那么一天能看到你会整一次闪闪闪的舞曲[热词系列_爱了爱了]
41185322: [星星眼]
20540024: 太强啦！UP主的MMD风格额外的美[tv_点赞]
296793259: 灯光的运用，失重的感觉还是远近的表达都太棒了!
9028544: piza，yyds
296793259: 鹅妈妈啊
94747828: 啊啊，来迟了[喜欢][初音未来_喜欢]
51094642: 一如既往滴强[初音未来_喜欢]
290404577: NB就完事了[tv_点赞]
309361049: 鹅妈妈！！
352855167: 无敌的视频
542728605: [热词系列_三连]
25697223: 恨不得把币全给你
153272816: 太爱了[爱心][热词系列_爱了爱了]
435056110: 晚安，wowaka[大哭][大哭][大哭][大哭]
21468777: 强啊[初音未来_喜欢]
295044544: 好康，投币了[doge]
356538679: 质量一如既往的高啊，支持up！[tv_点赞]
7021781: 没想到还会投这首[大哭][大哭]铃那个已经被我看了无数遍了[爱心][爱心][爱心][爱心]
197780382: piza出品必属精品！从第一次到现在不管哪一个都美得让人心痒（真就一股现实里会有的感觉）简直不要太生动。。sukisuki！！！
20761017: [初音未来_喜欢][初音未来_喜欢][初音未来_喜欢]
110698387: 三连三连[初音未来_nice][初音未来_nice][初音未来_nice]
398314322: 日常吹爆pizacg和wowaka[初音未来_喜欢][初音未来_喜欢][初音未来_喜欢]
331818: piza的作品细节太完美了，就像给人物赋予了灵魂一样
398314322: 疯狂打call！[初音未来_加油][初音未来_加油][初音未来_加油][初音未来_加油][初音未来_加油][初音未来_加油][初音未来_加油]
34425676: 来了来了！！[热词系列_爱了爱了]
220254800: 太棒惹[打call][打call][打call]
5129008: 创意好棒，我无了[Cat_sleep]
4940983: 绝了，超强啊
250605449: [热词系列_爱了爱了][热词系列_三连][tv_点赞]
435248416: [初音未来_加油][初音未来_加油][初音未来_加油]
593615405: [热词系列_爱了爱了][热词系列_三连][初音未来_nice][初音未来_干杯][初音未来_端碗]
290367550: Good
91398377: 这质量绝了tql[打call]
169988986: 再放送[初音未来_加油][初音未来_加油][初音未来_加油]
14108825: 啊啊啊啊太棒了wwww最喜欢的歌
240843553: 哇，这个模型和渲染超合我口味[喜欢]
21184146: 好康
195626079: 来力！！！
382774350: 这视频……感觉在哪见过……诶我十个月之前关注这他不就是这首歌嘛（下次是不是可以把rin和miku一块放上去[doge]（这次做的更棒了呢，细节更好，动作更流畅，等两个月值了
351390553: 好棒！！！！老婆好漂亮[初音未来_nice]
37546709: wwwww俺来了
31302776: 啊啊啊啊啊啊啊啊是卡密！！！！！piza老师yyds[大哭][大哭][大哭][大哭][大哭][大哭]
141196913: [OK]
395854957: piza大佬太强了[爱心][洛天依_爱你]
291323863: 来了，piza佬mmd滴神[热词系列_爱了爱了]
7923531: 嘴型调的好棒 可爱[崩坏3_口水]
73862878: 来了来了[初音未来_抱抱]
895222: 呜呜呜我哭了
161185170: 又是鹅妈妈呀！比起以前的rin版更多了一份灵动，技术力更高了。时隔十个月，鹅妈妈带来的感动依旧。
2869767: 爱了爱了(⑉°з°)-♡ 下次更新镜音铃吗？
19494474: wowaka[大哭]
294108017: piza是神[Cat_heart]
35850104: piza大佬永远滴神[小电视_赞]
398289768: 初音未来的老公给你点了个赞
107478945: 初音版本也非常好看呀^ω^喜欢
28654002: 我见过唯一一个胳肢窝没有bug的up[OK]
5132772: 三连再看，（⌒▽⌒）
37290523: 这波是复刻经典[初音未来_喜欢]
151927067: [初音未来_加油]这画质随便截就是壁纸
401631770: ✿ヽ(°▽°)ノ✿
55928724: pizadalao终于又更新辣！虽然是同一首曲子却是不同的感觉。颜色渐变、灯光切换和运镜都惊艳到我了，以至于四分钟的视频不知不觉吃了半碗的枣子(。原谅我说不出太多的话，因为她实在是太太太太太好看了，在此，给pizadalao献上敬意和赞赏！
