19527363: 爷童回[大哭]
13132833: 这个可是一定要追的，以前的都看了好几遍了，其实有点喜欢反派，毕竟还是挺帅的，男主性格不错，女主也不是那种很拖沓的，也不错，期待一下吧
387069139: 厉害了
401233206: [打call][打call][打call][打call][打call][打call]
67078460: 童年啊
516700: 怀念阿弥陀丸[doge]
15578046: 什么！！！！？？我有点快乐！！！
342264348: 爷青回
367023490: 是的，麻仓叶王，当之无愧的通灵王
没错，麻仓叶    ，当之无愧的人生赢家
7534718: 卧槽！好大人！我爱你！
12115952: 这个pv都刷烂了。。。好想偷跑啊！！！或者带我去明年四月啊喂！！
2865589: 以前的时候，麻仓叶的老婆在我眼里是非常新奇的存在，帅的一笔。[tv_发怒]
69581: 直接到叶王这里了？前面的剧情难道直接跳掉麽？
34532706: 还是小时候在点播台看的[星星眼]
7399906: 这个我小时候买了第二季的全套dvd，确实挺好看的
106941738: 大boss不是主角爷爷吗，这部动画小时候很喜欢啊
12543598: 求阿B买，给跪了。[跪了][跪了][跪了]
256746930: 老青结工了，信仰翻，[小电视_赞]
232565826: 阿弥陀流大刀光刃
25332852: 牛逼
320567907: 这是我看过中文配音最有感觉的日漫
5689319: 我的天呐
285212350: 表白cv 太赞了！
256894290: 听说麻仓叶王还是高山南配音，恐山安娜还是林原惠美，
15307941: 啊啊啊啊啊爷青回
103864691: 太渺小了
46074814: op呢，我喜欢原来的op[星星眼][星星眼]
27788932: 唯一看过的热血漫啊[星星眼][星星眼][星星眼]
14743151: 瞳孔终于还原漫画了[doge]旧版瞳孔没用漫画的配色
13746132: 卧槽，阿弥陀丸
28822884: 我等了十五年！
2299710: 爷青回啊啊啊啊啊啊啊啊啊啊！！！！！！好叶赛高！！！！！
289028418: 今年各种重置，感觉回到了小学。
2814965: 爷青回！梦回初中！把旧的也买了吧！！
32290418: 爷青回
237592773: 老版的通灵王那里可以看呀！我找不到资源啊😱！
32290418: 爷青回
14018830: 请问一下 是接着原版出 还是纯粹的翻新啊？
10315395: 阿弥陀丸不是组长了[崩坏3_惊]
4941237: 爷青回
21188500: 叶王!
88667717: [热词系列_有生之年]
2229540: 就没有人喜欢我霍洛霍洛和小水坝的吗腰斩把他俩的神仙爱情都斩没了超级遗憾！！！！
27584460: NB
12287666: 啊啊啊啊发出尖叫，坐等家教初代篇
11932415: 烂尾了不是吗，漫画
32320623: 阿b，如果是你的话，一定会买的吧，呐呐呐呐
386421207: 以前的日本动漫真的很多中国元素
164121820: 漫画多久没更了
1704051: 话说看到结尾安娜的台词，是要做与恐山会面篇嘛！！！激动！[tv_大哭]
60342306: 等候已久
839196: 还有那个叫啥驱魔少年的动画呢，还能看到吗
122815345: 最喜欢的就是咱们中国的僵尸家族那个剧情，捏他李小龙，感觉和揍敌客家族一样
1294580: 让我想起了自己的ID是怎么来的了...
26392315: 通灵王我还是小时候在奥拉星上看的，现在想想就奇怪，在游戏里看动漫[doge]
19258105: 我看过但忘了剧情系列
484622570: 卧槽！！卧槽！！卧槽！！！
50046434: 会有轰隆轰隆和小水坝那段吗[星星眼]
12483885: 99年的没看过
4874490: 现在知道爷爷为什么要长命百岁了[doge]
2676665: 等等！叶的cv换成搞笑艺人了。[大哭]
47279793: 卧槽 诈尸了～
29819437: wc！！！！
10512066: 这个画风我爱了
526628037: 倒计时了
772397: 我他妈吹到原地爆炸[视频卫星]
4858591: 要是像漫画后期一样那就没必要看了 挨个死了再复活就能提升好几倍   漫画都看不下去了
3347947: 我爱法斯特那对
34424224: 通灵王里最厉害的BOSS不是麻仓叶的老婆吗?
21423081: 阿弥陀丸印春雨印布都御魂之剑。冲啊！
14308782: 通灵王这么好玩的体系都没有改变游戏的吗？为啥呀
84503682: 这么强的吗，真正的续集被动漫化了。。。开心啊。。。
14840975: 活久见
1805350: 通灵王印象最深的就是轰隆轰隆的屁把阿叶崩晕了[呲牙]
8437160: ？葉的cv换人了？还是cv老了？
91915483: 22岁的我前几年一直在找这个，小时候看的很模糊
489101100: 终于要回了。小时候买碟看了好几遍。
1381701: ？？？？。爷 青 回
348324: 叶王在叶遇到危险出来救场，还说了句:不要动我重要的半身。[妙啊]导致我当年就腐了
21442551: 一个个都跟小时候一样 忘了道莲姐姐[歪嘴]
36899587: 叶王大人，我第一个喜欢的反派角色
882207: 我当时第一次见到，连作者都没法圆回来的最强大BOSS[妙啊]
7869294: (;´༎ຶٹ༎ຶ`)等了十几年了，烂尾是动画烂了。作画和剧情就谜一样。
22144474: 当初看漫画，看到叶跟好在便利店里见面，两人喝茶聊天，还登自行车散步的时候，就觉着：啊，哪怕结局洗白烂尾也认了，毕竟是双胞胎兄弟啊。
37425794: 👴爷青回
20205386: 光速假面21也可以，顺便把漫画结局补了
15326950: 我从上古回来了
20571206: 卧槽(*｀へ´*)
[热词系列_知识增加]
52906166: 配上龙王赘婿的BGM更带感
471974551: 通灵王，音乐牛逼！[doge]
31858750: 小学时候看的，十多年了
51999380: 马孙，巨大超灵体。
1110697: 啊不是，阿叶手上这国宝还没还回去啊，另外叶王设定是真的强
348996452: 等了多少年了  唯一一个看四五遍的动漫  yeyeyeyeye
5188353: 终于完全按漫画了，甲缚式超灵体超帅，白鹄都出现了，黑雏叶王不远了，说实话漫画后面打十祭司我觉得超好看的！十祭司没你们想象的那么弱，还有霍洛霍洛最终形态简直帅爆，最爱通灵王
11588702: 日漫翻新质量还是可以的
285503656: 哦，当年漫画借同学的早看完了，现在才出动漫！小评价一下，boos魅力高过主角的动漫！[偷笑][调皮]
328564816: 只看了漫画，不知道为什么动画没有看的欲望，不过重置的应该可以期待一下。
8533397: 卧槽卧槽，林原女王还能原味配！爷青回！！
17133980: 华娱台的过来签个到[doge]
