17922621: 是真的流啤
194356914: 我只看过一部战队  但是忘记叫啥名了  好像有12星座  还能合体什么的
210203642: 兄弟们，我有一个朋友超级想看，可以借一部说话吗？
22681416: 这真的是个特色片！！！[惊讶]
416573503: 歌是演員唱的嘛，其實不錯[阴险][doge]
432348948: 这特摄在我迅雷里待了一个月[捂脸][捂脸]
364418799: 我实在不知道有什么特摄能比01差
354584936: 这玩意真的是正经片嘛
522031119: 再见战队拜拜连者
323999767: 这东西吧，不是正经特摄，但是去掉某些东西，当消遣看看也差不离了[妙啊]
16432454: 比捕将好多了
398827278: 我要是没记错这是个片，我甚至还有资源[笑哭][笑哭][笑哭]
32081274: 还真有弹幕说比saber强，尬黑也该有个度吧？要是真的无聊就出去溜达溜达，天天窝在家里捧着电脑手机喷喷喷，saber刚播两集就开始无脑黑，真当是三岁看老啊[疑惑][疑惑][疑惑]
2934139: BGM：爆乳戦隊パイレンジャー（这是另一部特摄的op），网易云有
73265924: 这动作侧面提现了这些人的力气很大，看起来没有劲儿的动作却能打到一群大男人，所以力气很大[tv_doge][tv_doge][tv_doge]
14445155: yysy这个合体武器是真不戳，如今东映都算是江郎才尽多少年没出合体武器和个人专属武器了
325441405: 最烂的特摄？把我大01放哪去了？
4787538: 指日可待.jpg
240758006: giga社感觉财大气粗的亚子，基本每拍一集就撕烂一件皮套，战队套是直接扯烂，美少女战士是用电棍弄烂，就女奥特曼就破个屁屁（果然还是奥特曼皮料太贵舍不得吗[热词系列_知识增加]）哪像隔壁的zen，就打破个头盔，然后取消变身常服出演不过zen比较重口味
2407993: 掰衣连者
35926170: 借一步说话
45798940: 你把张伟大绿尸放在什么位置
57633294: 这种特摄有两大厂商，giga是不能播的那种[doge]zen是可以播但是有明显的某种暗示。。。
240689171: 欺负审核听不懂日语？
71321972: 辣眼睛
91565934: giga
34706927: 所以，up能借一步说话吗
497933883: 拜拜拜拜啦啦啦伊愣加～[歪嘴]
322723927: 这个特摄最后会发展到昏暗的房间里吧！
128776597: 一般般[抠鼻][抠鼻]
25158633: 辣眼睛
31527825: 擦，我竟然看过，最后都s了
386753001: 这不比博人热血.jpg（烂梗）
35520947: yysy，BGM还挺带感的[doge]
87131447: 后面那170分钟你给剪了?
276182567: 武器有出dx吗，或者扭蛋食玩也行[doge][doge][doge]
2542213: [doge]我有个朋友
436752787: 喵的像极了我小时候最喜欢的神兽金刚[无语]
510851338: 皮套有点像魔法战队……
7262504: 好家伙
