24565789: 这个皇后让我想到了郭德纲相声里的钟离无颜娘娘[跪了]
27269988: 好可爱啊哈哈哈哈哈
从上个视频追过来的，现在关注以后我就是老粉啦[热词系列_爱了爱了]
39013748: 大清早的在床上笑出猪叫🐷
51810845: 笑死了
427033992: 是我的问题还是什么，昨天我看只有5000多粉，今天怎么变成两万多了？？？[思考]
470604439: 快更快更快更快更！[抓狂][抓狂][抓狂]
48142974: 很不错关注了，加油
13611771: 大ne
5982866: 我觉得能火
6532899: 关注了关注了 我也是老粉了[Cat_hightouch]
648658: 哈哈哈哈哈笑出鹅叫
27018373: hhhhhhhh太有意思了[笑哭]
17404459: 我宣布，你多了一个粉[热词系列_爱了爱了]
35386077: 呜呜呜呜，帝后官配对吗？[大哭][大哭][大哭]我瞌这种cp
2978485: 好厉害呀
311784138: [热词系列_三连]，少有的三连投币，up主快点更[热词系列_锤]
2914040: 呜呜呜呜呜呜呜呜呜催更
442957061: up我觉得你的作品很好，希望你多多更新，不要不识抬举。不然我就嘤嘤嘤加跪下来求你[热词系列_三连]
303667301: 感觉皇后有点把皇帝当儿子
15324153: 好好玩，关注了[笑哭]
26113405: 默默等大火
15509906: 啊我爱皇后！我也想吃锅包you，大ne[崩坏3_注入灵魂]
95925135: 有点可爱
15818263: 笑死了，发现了宝藏UP
415962355: 画风让人觉得好舒服，好可爱呀(/ω＼)
106411338: 哈哈哈哈哈哈，快更快更，硬币还有
11559681: 这就是皇后吗！爱了爱了！
299936048: 后续呢！催更催更！还想看皇后！（啊啊啊这口音就跟看相声似的[星星眼][星星眼][doge][热词系列_三连]）
646091704: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
39667546: 哇
46872562: 设定太有趣了哈哈哈，好活，赏[热词系列_三连]
32815784: 投币了，我什么时候能成为5级号？
20582656: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
33655472: 嗦你还真不如去砍穿越者得劲[滑稽]
161844853: 好看！好有意思，爱了爱了
387419521: 宝藏up主！！！！！这么早就发现了的我不亏！！！！！
376413979: 一口气看完了up所有的视频[热词系列_吹爆]
4339126: 这个视频为啥会出现在我首页
358319980: 哈哈
351898785: [热词系列_三连]up主，务必gkd，希望你不要不识抬举。
不然。。。不然我。。。我就嘤嘤嘤
31797452: 挺喜欢这种风格的动画，东北话很有趣[热词系列_你币有了][热词系列_三连]
33509237: 哈哈哈哈哈哈哈他们这么还不火哈哈哈哈哈哈哈
174049781: 我宣布我是老粉了[doge]
49872269: 我警告你，快点更，多更点，你不要不识好歹，如果你非不更的话，你别逼我...跪下求你更[doge]。
332569905: 趁还没到四级先欺负欺负[doge]
332569905: 为什么只有1级？[热词系列_知识增加]
266477066: 还是俩字，爱了
22732792: 新up主？才两个视频，我来了。我要见证历史[打call]
6118164: 太好笑了
516878335: 我三连了，快更新[doge]
124632324: 这个up是个潜力股嗷
289012742: 这就是那个“绝对领域”“双马尾”“辣条”的穿越者吗
491161624: 有意思[OK]
350022767: 好玩
396893383: 大蛇丸我可以，小时候萝莉长大御姐生完少妇
16385516: 关注[鼓掌]
93851445: 一看就是我大东北的，咋滴，瞅我咋滴！不服奥(;｀O´)o[微笑]
216036017: ？？？这神仙up主才一级？吼吼吼[歪嘴]
550962728: 我爱皇后！！
493691031: 好看
42869408: 加油💪UP很好看
13726296: 笑死我了
25994948: 好奇皇上的贵妃，嫔，佳丽三千都是啥[doge]
